20231128	22:19:53	2ce392ca-4480-42d3-8a38-235d698551f1	Log event emitted!
20231128	22:19:57	d0423478-8d0f-43a3-bccf-af17bf0c7add	Log event emitted!
20231128	22:20:00	7a4fc642-f462-4037-b39d-bad9b94749a0	Log event emitted!
20231128	22:20:03	e75b90e0-ddce-4efc-9b4c-9d9c48d83611	Log event emitted!
20231128	22:20:45	412cb7c5-797f-467e-830b-33438f972850	Log event emitted!
20231128	22:20:53	349300ae-8275-4ecc-9489-02ba86d2aef0	Log event emitted!
20231128	22:20:56	2983a558-ce13-4c05-82f8-c2e16ea751e1	Log event emitted!
20231128	22:20:57	456d2e5f-5e11-4429-8297-0c2bede6186a	Log event emitted!
20231128	22:20:58	9a1efbc8-62b3-46e5-87c7-dce278025223	Log event emitted!
20231128	22:21:00	5b636bb7-6a9b-4080-b803-7498c583f77a	Log event emitted!
20231128	22:23:53	8c3b54dd-bd86-4066-86fc-18a78297572e	Log event emitted!
20231128	22:23:57	78b515b6-51cc-408e-b39a-a6c218158bf7	Log event emitted!
20231128	22:24:00	1abd299c-eeea-4661-b7ac-2d24f82e1270	Log event emitted!
20231128	22:24:56	5425cf58-b1d2-4577-9bcf-dcc7495dc373	Log event emitted!
20231128	22:26:05	29d8fb1e-f2d1-4f53-a4c6-599db13851ea	Log event emitted!
20231128	22:28:03	fef4c861-7c15-407b-91c9-1c23ab6784b9	Log event emitted!
20231128	22:28:10	2f38d251-4daa-46b0-a3e0-40d478eb41a7	Log event emitted!
20231128	22:28:17	c4e583a5-0146-4683-a36b-3bec4b9565b2	Log event emitted!
20231128	22:28:26	9d165964-52cf-4137-a9e8-67da3c715335	Log event emitted!
20231128	22:28:28	b18fb95a-5f7c-43dd-97fd-afa7c2fc181a	Log event emitted!
20231128	22:28:30	668ff84d-6e3b-425e-a44d-245691896954	Log event emitted!
20231128	22:28:39	992a7162-33cb-4794-8da8-d8d73d631f57	Log event emitted!
20231129	11:18:31	84e26f54-0fb0-4860-93a8-706dfc0406f5	/	GET
20231129	11:18:31	3c5dd762-87ae-4ec0-8f87-6edb03d6371a	/favicon.ico	GET
20231129	11:20:04	81dde53e-c0dd-4c79-a5f2-2f8fba6f528e	/	GET
20231129	11:22:02	7ef88ebe-006f-499d-8884-4147af435788	/old	GET
20231129	11:22:33	ba56b92a-041d-46fc-b206-f1b9bee628ce	/	GET
20231129	11:23:25	6d5f8cac-7cff-4945-b995-7ebf660b9577	/	GET
20231129	11:23:25	a3d57437-1f3d-4a30-b9ce-5fe12c52c6be	/favicon.ico	GET
20231129	11:24:08	2eac5e40-d8db-4518-bdf8-db771ce91c87	/	GET
20231129	11:24:24	ac0fa7f1-5433-481a-9d98-b383c8f05ed7	/new-page	GET
20231129	11:24:24	49723858-9d4d-4087-87cc-1aaf9e17b89c	/css/style.css	GET
20231129	11:24:24	cfedfd30-94e8-43a8-b071-f2889166a78f	/img/img1.jpg	GET
20231129	11:25:06	2c3f7d41-1677-4080-bdc3-3aca36536ec1	/new-page	GET
20231129	11:25:06	b6e993c9-a4c1-4fe7-8923-060a8cbde7e1	/css/style.css	GET
20231129	11:25:06	e500bf5a-2f5e-44d3-9049-df13a6cb92af	/img/img1.jpg	GET
20231129	11:25:10	cd7a1d14-8384-4b7e-a258-9408ccfb76b5	/css/style.css	GET
20231129	11:25:40	09e9eb50-07ba-4a76-af68-1bfe37b0821e	/test	GET
20231129	11:25:47	d4a6cb4c-f125-42f2-abcf-018472c1467e	/testads	GET
20231129	11:25:48	d6ce510b-33c2-499c-8976-c8c1fce09121	/css/style.css	GET
20231129	11:27:28	d9b35522-bdbc-4ae1-84a5-4835289e7018	/data/data.json	GET
20231129	11:27:28	2bd5732c-4202-43b8-b99a-373069c23d0f	SyntaxError: Unexpected end of JSON input
20231129	11:27:56	a8796f4b-0fc0-4125-8820-4caf0f672877	/data/data.json	GET
20231129	11:28:02	2a550d1d-7e49-4853-97b2-d733f38e1f2d	/data/data.text	GET
20231129	11:28:02	1edd02e1-e251-4445-bda8-300d357d5a9e	/css/style.css	GET
20231129	11:28:08	c2387bf5-c96d-442e-9d22-d806c154427a	/data/data.txt	GET
20231129	11:28:13	b9590d02-7e96-40b3-90c6-4a0f1fd351fa	/data/data	GET
20231129	11:28:13	70a014d4-d2ee-4693-a405-39c3367db808	/css/style.css	GET
20231129	11:29:26	a1856ccd-3e2a-4ae6-b972-fb8bd4362670	/subidr	GET
20231129	11:29:26	fbfa4bf3-5e4a-49ae-be31-015bdc52a0f6	/css/style.css	GET
20231129	11:29:31	6275abfb-55ec-4438-a4d5-a9e3b45f8687	/subir	GET
20231129	11:29:31	45ae7b0b-502e-4efc-81f1-72e026841c2e	/css/style.css	GET
20231129	11:29:41	25c0cd40-8fb5-47d7-b6f0-812a0172ff09	/subdir/index	GET
20231129	11:29:45	e635476d-6167-4298-868a-a74da550d520	/subir	GET
20231129	11:29:45	d732f350-6be2-42d8-a476-9467fb777d26	/css/style.css	GET
20231129	11:29:49	cf21dd9d-6d27-4227-8e43-bac69bab5765	/subdir	GET
20231129	11:29:49	a4ab5c46-dd07-4ee7-9318-acc28c2402b3	/css/style.css	GET
